round,col_play,row_play,row_game,col_game,treatment,type
33,"(0.9375, 0.0, 0.0625)","(0.25, 0.5625, 0.1875)","[[[7.0, 9.0], [2.0, 2.0], [6.0, 4.0]], [[8.0, 7.0], [2.0, 4.0], [5.0, 6.0]], [[7.0, 4.0], [6.0, 3.0], [5.0, 2.0]]]","[[[9.0, 7.0], [7.0, 8.0], [4.0, 7.0]], [[2.0, 2.0], [4.0, 2.0], [3.0, 6.0]], [[4.0, 6.0], [6.0, 5.0], [2.0, 5.0]]]",positive,treatment
34,"(0.875, 0.0, 0.125)","(0.125, 0.0625, 0.8125)","[[[6.0, 3.0], [2.0, 4.0], [3.0, 4.0]], [[5.0, 3.0], [4.0, 0.0], [2.0, 4.0]], [[5.0, 7.0], [3.0, 2.0], [5.0, 4.0]]]","[[[3.0, 6.0], [3.0, 5.0], [7.0, 5.0]], [[4.0, 2.0], [0.0, 4.0], [2.0, 3.0]], [[4.0, 3.0], [4.0, 2.0], [4.0, 5.0]]]",positive,treatment
35,"(0.4375, 0.125, 0.4375)","(0.4375, 0.1875, 0.375)","[[[7.0, 6.0], [2.0, 6.0], [9.0, 7.0]], [[5.0, 6.0], [6.0, 8.0], [6.0, 8.0]], [[8.0, 7.0], [7.0, 4.0], [4.0, 4.0]]]","[[[6.0, 7.0], [6.0, 5.0], [7.0, 8.0]], [[6.0, 2.0], [8.0, 6.0], [4.0, 7.0]], [[7.0, 9.0], [8.0, 6.0], [4.0, 4.0]]]",positive,treatment
36,"(0.5625, 0.4375, 0.0)","(0.5625, 0.4375, 0.0)","[[[7.0, 6.0], [5.0, 8.0], [8.0, 5.0]], [[8.0, 9.0], [2.0, 4.0], [4.0, 7.0]], [[2.0, 1.0], [7.0, 8.0], [7.0, 6.0]]]","[[[6.0, 7.0], [9.0, 8.0], [1.0, 2.0]], [[8.0, 5.0], [4.0, 2.0], [8.0, 7.0]], [[5.0, 8.0], [7.0, 4.0], [6.0, 7.0]]]",positive,treatment
37,"(0.25, 0.5, 0.25)","(0.0625, 0.3125, 0.625)","[[[3.0, 5.0], [3.0, 6.0], [2.0, 5.0]], [[6.0, 6.0], [3.0, 8.0], [2.0, 1.0]], [[3.0, 6.0], [7.0, 6.0], [4.0, 9.0]]]","[[[5.0, 3.0], [6.0, 6.0], [6.0, 3.0]], [[6.0, 3.0], [8.0, 3.0], [6.0, 7.0]], [[5.0, 2.0], [1.0, 2.0], [9.0, 4.0]]]",positive,treatment
38,"(0.4375, 0.5625, 0.0)","(0.5625, 0.4375, 0.0)","[[[8, 8], [2, 9], [1, 0]], [[9, 2], [3, 3], [1, 1]], [[0, 1], [1, 1], [1, 1]]]","[[[8, 8], [2, 9], [1, 0]], [[9, 2], [3, 3], [1, 1]], [[0, 1], [1, 1], [1, 1]]]",positive,comparison
39,"(0.0, 0.625, 0.375)","(0.0, 0.8125, 0.1875)","[[[0.0, 2.0], [3.0, 2.0], [4.0, 5.0]], [[1.0, 2.0], [7.0, 6.0], [2.0, 2.0]], [[3.0, 1.0], [4.0, 0.0], [3.0, 2.0]]]","[[[2.0, 0.0], [2.0, 1.0], [1.0, 3.0]], [[2.0, 3.0], [6.0, 7.0], [0.0, 4.0]], [[5.0, 4.0], [2.0, 2.0], [2.0, 3.0]]]",positive,treatment
40,"(0.25, 0.75, 0.0)","(0.0, 1.0, 0.0)","[[[5.0, 5.0], [1.0, 1.0], [2.0, 4.0]], [[5.0, 3.0], [8.0, 9.0], [3.0, 4.0]], [[6.0, 4.0], [6.0, 7.0], [1.0, 3.0]]]","[[[5.0, 5.0], [3.0, 5.0], [4.0, 6.0]], [[1.0, 1.0], [9.0, 8.0], [7.0, 6.0]], [[4.0, 2.0], [4.0, 3.0], [3.0, 1.0]]]",positive,treatment
41,"(0.125, 0.75, 0.125)","(0.3125, 0.125, 0.5625)","[[[4.0, 5.0], [6.0, 6.0], [4.0, 3.0]], [[2.0, 4.0], [6.0, 7.0], [0.0, 2.0]], [[9.0, 5.0], [4.0, 4.0], [5.0, 7.0]]]","[[[5.0, 4.0], [4.0, 2.0], [5.0, 9.0]], [[6.0, 6.0], [7.0, 6.0], [4.0, 4.0]], [[3.0, 4.0], [2.0, 0.0], [7.0, 5.0]]]",positive,treatment
42,"(0.0625, 0.1875, 0.75)","(0.125, 0.3125, 0.5625)","[[[4, 4], [4, 6], [5, 0]], [[6, 4], [3, 3], [5, 1]], [[0, 5], [1, 5], [9, 9]]]","[[[4, 4], [4, 6], [5, 0]], [[6, 4], [3, 3], [5, 1]], [[0, 5], [1, 5], [9, 9]]]",positive,comparison
43,"(0.0625, 0.4375, 0.5)","(0.5625, 0.0, 0.4375)","[[[5.0, 6.0], [9.0, 7.0], [5.0, 5.0]], [[0.0, 4.0], [3.0, 0.0], [2.0, 6.0]], [[4.0, 3.0], [6.0, 6.0], [8.0, 7.0]]]","[[[6.0, 5.0], [4.0, 0.0], [3.0, 4.0]], [[7.0, 9.0], [0.0, 3.0], [6.0, 6.0]], [[5.0, 5.0], [6.0, 2.0], [7.0, 8.0]]]",positive,treatment
44,"(0.5625, 0.25, 0.1875)","(0.6875, 0.3125, 0.0)","[[[6.0, 4.0], [6.0, 8.0], [8.0, 7.0]], [[7.0, 9.0], [6.0, 6.0], [3.0, 5.0]], [[1.0, 4.0], [3.0, 0.0], [2.0, 3.0]]]","[[[4.0, 6.0], [9.0, 7.0], [4.0, 1.0]], [[8.0, 6.0], [6.0, 6.0], [0.0, 3.0]], [[7.0, 8.0], [5.0, 3.0], [3.0, 2.0]]]",positive,treatment
45,"(0.0625, 0.75, 0.1875)","(1.0, 0.0, 0.0)","[[[6.0, 8.0], [8.0, 9.0], [6.0, 3.0]], [[3.0, 5.0], [0.0, 2.0], [6.0, 9.0]], [[3.0, 1.0], [5.0, 4.0], [1.0, 2.0]]]","[[[8.0, 6.0], [5.0, 3.0], [1.0, 3.0]], [[9.0, 8.0], [2.0, 0.0], [4.0, 5.0]], [[3.0, 6.0], [9.0, 6.0], [2.0, 1.0]]]",positive,treatment
46,"(0.8125, 0.0, 0.1875)","(0.25, 0.0625, 0.6875)","[[[6.0, 9.0], [2.0, 1.0], [0.0, 5.0]], [[6.0, 7.0], [3.0, 1.0], [6.0, 7.0]], [[9.0, 4.0], [5.0, 5.0], [6.0, 5.0]]]","[[[9.0, 6.0], [7.0, 6.0], [4.0, 9.0]], [[1.0, 2.0], [1.0, 3.0], [5.0, 5.0]], [[5.0, 0.0], [7.0, 6.0], [5.0, 6.0]]]",positive,treatment
47,"(0.5625, 0.375, 0.0625)","(0.0, 0.25, 0.75)","[[[5.0, 8.0], [2.0, 2.0], [5.0, 7.0]], [[3.0, 5.0], [6.0, 9.0], [4.0, 4.0]], [[4.0, 7.0], [8.0, 6.0], [3.0, 3.0]]]","[[[8.0, 5.0], [5.0, 3.0], [7.0, 4.0]], [[2.0, 2.0], [9.0, 6.0], [6.0, 8.0]], [[7.0, 5.0], [4.0, 4.0], [3.0, 3.0]]]",positive,treatment
48,"(0.75, 0.1875, 0.0625)","(0.875, 0.125, 0.0)","[[[9.0, 9.0], [8.0, 4.0], [8.0, 9.0]], [[8.0, 6.0], [6.0, 7.0], [3.0, 1.0]], [[7.0, 9.0], [6.0, 8.0], [0.0, 1.0]]]","[[[9.0, 9.0], [6.0, 8.0], [9.0, 7.0]], [[4.0, 8.0], [7.0, 6.0], [8.0, 6.0]], [[9.0, 8.0], [1.0, 3.0], [1.0, 0.0]]]",positive,treatment
49,"(0.1875, 0.625, 0.1875)","(0.25, 0.6875, 0.0625)","[[[4, 4], [9, 1], [1, 3]], [[1, 9], [8, 8], [1, 8]], [[3, 1], [8, 1], [3, 3]]]","[[[4, 4], [9, 1], [1, 3]], [[1, 9], [8, 8], [1, 8]], [[3, 1], [8, 1], [3, 3]]]",positive,comparison
50,"(0.25, 0.6875, 0.0625)","(0.9375, 0.0625, 0.0)","[[[9.0, 8.0], [7.0, 9.0], [2.0, 5.0]], [[3.0, 0.0], [7.0, 9.0], [6.0, 4.0]], [[3.0, 4.0], [7.0, 3.0], [2.0, 1.0]]]","[[[8.0, 9.0], [0.0, 3.0], [4.0, 3.0]], [[9.0, 7.0], [9.0, 7.0], [3.0, 7.0]], [[5.0, 2.0], [4.0, 6.0], [1.0, 2.0]]]",positive,treatment
