DATASET,GAME,PLAYER,ACTION,ORIGINAL_ACTION,COUNT
CGW08,CGW08-11,1,2,M,20
CGW08,CGW08-11,1,3,B,39
CGW08,CGW08-11,2,1,T,14
CGW08,CGW08-11,2,2,M,37
CGW08,CGW08-11,2,3,B,11
CGW08,CGW08-12,1,1,T,7
CGW08,CGW08-12,1,2,M,47
CGW08,CGW08-12,1,3,B,12
CGW08,CGW08-12,2,1,T,19
CGW08,CGW08-12,2,2,M,11
CGW08,CGW08-12,2,3,B,32
CGW08,CGW08-13,1,1,T,39
CGW08,CGW08-13,1,2,M,7
CGW08,CGW08-13,1,3,B,20
CGW08,CGW08-13,2,1,T,12
CGW08,CGW08-13,2,2,M,29
CGW08,CGW08-13,2,3,B,21
CGW08,CGW08-14,1,1,T,13
CGW08,CGW08-14,1,2,M,22
CGW08,CGW08-14,1,3,B,31
CGW08,CGW08-14,2,1,T,14
CGW08,CGW08-14,2,2,M,39
CGW08,CGW08-14,2,3,B,9
