round,col_play,row_play,row_game,col_game,treatment,type
35,"(0.8235294117647058, 0.11764705882352941, 0.058823529411764705)","(0.9375, 0.0625, 0.0)","[[[8.0, 2.0], [7.0, 2.0], [8.0, 1.0]], [[5.0, 6.0], [9.0, 2.0], [4.0, 6.0]], [[1.0, 7.0], [5.0, 6.0], [9.0, 1.0]]]","[[[2.0, 8.0], [6.0, 5.0], [7.0, 1.0]], [[2.0, 7.0], [2.0, 9.0], [6.0, 5.0]], [[1.0, 8.0], [6.0, 4.0], [1.0, 9.0]]]",negative,treatment
36,"(1.0, 0.0, 0.0)","(0.7647058823529411, 0.0, 0.23529411764705882)","[[[4.0, 9.0], [6.0, 5.0], [2.0, 7.0]], [[1.0, 6.0], [5.0, 2.0], [3.0, 8.0]], [[3.0, 7.0], [2.0, 7.0], [8.0, 3.0]]]","[[[9.0, 4.0], [6.0, 1.0], [7.0, 3.0]], [[5.0, 6.0], [2.0, 5.0], [7.0, 2.0]], [[7.0, 2.0], [8.0, 3.0], [3.0, 8.0]]]",negative,treatment
37,"(0.6470588235294118, 0.35294117647058826, 0.0)","(0.1875, 0.0, 0.8125)","[[[2.0, 9.0], [5.0, 4.0], [8.0, 0.0]], [[4.0, 7.0], [2.0, 7.0], [8.0, 2.0]], [[7.0, 4.0], [4.0, 5.0], [9.0, 1.0]]]","[[[9.0, 2.0], [7.0, 4.0], [4.0, 7.0]], [[4.0, 5.0], [7.0, 2.0], [5.0, 4.0]], [[0.0, 8.0], [2.0, 8.0], [1.0, 9.0]]]",negative,treatment
38,"(0.35294117647058826, 0.6470588235294118, 0.0)","(0.375, 0.5625, 0.0625)","[[[8, 8], [2, 9], [1, 0]], [[9, 2], [3, 3], [1, 1]], [[0, 1], [1, 1], [1, 1]]]","[[[8, 8], [2, 9], [1, 0]], [[9, 2], [3, 3], [1, 1]], [[0, 1], [1, 1], [1, 1]]]",negative,comparison
39,"(0.17647058823529413, 0.35294117647058826, 0.47058823529411764)","(0.3125, 0.125, 0.5625)","[[[7.0, 1.0], [4.0, 8.0], [2.0, 7.0]], [[2.0, 9.0], [5.0, 7.0], [4.0, 6.0]], [[2.0, 4.0], [6.0, 4.0], [6.0, 6.0]]]","[[[1.0, 7.0], [9.0, 2.0], [4.0, 2.0]], [[8.0, 4.0], [7.0, 5.0], [4.0, 6.0]], [[7.0, 2.0], [6.0, 4.0], [6.0, 6.0]]]",negative,treatment
40,"(0.5294117647058824, 0.058823529411764705, 0.4117647058823529)","(0.5, 0.5, 0.0)","[[[7.0, 4.0], [7.0, 2.0], [3.0, 7.0]], [[5.0, 5.0], [5.0, 3.0], [7.0, 3.0]], [[3.0, 9.0], [3.0, 8.0], [6.0, 7.0]]]","[[[4.0, 7.0], [5.0, 5.0], [9.0, 3.0]], [[2.0, 7.0], [3.0, 5.0], [8.0, 3.0]], [[7.0, 3.0], [3.0, 7.0], [7.0, 6.0]]]",negative,treatment
41,"(0.17647058823529413, 0.8235294117647058, 0.0)","(0.75, 0.0625, 0.1875)","[[[6.0, 7.0], [5.0, 7.0], [9.0, 1.0]], [[8.0, 2.0], [1.0, 8.0], [8.0, 1.0]], [[6.0, 5.0], [5.0, 3.0], [7.0, 2.0]]]","[[[7.0, 6.0], [2.0, 8.0], [5.0, 6.0]], [[7.0, 5.0], [8.0, 1.0], [3.0, 5.0]], [[1.0, 9.0], [1.0, 8.0], [2.0, 7.0]]]",negative,treatment
42,"(0.375, 0.3125, 0.3125)","(0.35294117647058826, 0.4117647058823529, 0.23529411764705882)","[[[4, 4], [4, 6], [5, 0]], [[6, 4], [3, 3], [5, 1]], [[0, 5], [1, 5], [9, 9]]]","[[[4, 4], [4, 6], [5, 0]], [[6, 4], [3, 3], [5, 1]], [[0, 5], [1, 5], [9, 9]]]",negative,comparison
43,"(0.0, 0.4117647058823529, 0.5882352941176471)","(0.125, 0.375, 0.5)","[[[4.0, 4.0], [8.0, 2.0], [2.0, 7.0]], [[8.0, 1.0], [3.0, 8.0], [4.0, 1.0]], [[6.0, 6.0], [7.0, 6.0], [4.0, 9.0]]]","[[[4.0, 4.0], [1.0, 8.0], [6.0, 6.0]], [[2.0, 8.0], [8.0, 3.0], [6.0, 7.0]], [[7.0, 2.0], [1.0, 4.0], [9.0, 4.0]]]",negative,treatment
44,"(0.0, 0.9411764705882353, 0.058823529411764705)","(0.5625, 0.0625, 0.375)","[[[9.0, 1.0], [6.0, 6.0], [8.0, 2.0]], [[0.0, 9.0], [0.0, 9.0], [6.0, 2.0]], [[9.0, 3.0], [6.0, 6.0], [5.0, 4.0]]]","[[[1.0, 9.0], [9.0, 0.0], [3.0, 9.0]], [[6.0, 6.0], [9.0, 0.0], [6.0, 6.0]], [[2.0, 8.0], [2.0, 6.0], [4.0, 5.0]]]",negative,treatment
45,"(0.0625, 0.25, 0.6875)","(0.0, 0.058823529411764705, 0.9411764705882353)","[[[2.0, 9.0], [6.0, 3.0], [7.0, 3.0]], [[5.0, 4.0], [7.0, 3.0], [1.0, 8.0]], [[9.0, 1.0], [4.0, 7.0], [7.0, 8.0]]]","[[[9.0, 2.0], [4.0, 5.0], [1.0, 9.0]], [[3.0, 6.0], [3.0, 7.0], [7.0, 4.0]], [[3.0, 7.0], [8.0, 1.0], [8.0, 7.0]]]",negative,treatment
46,"(0.058823529411764705, 0.7647058823529411, 0.17647058823529413)","(0.25, 0.375, 0.375)","[[[9.0, 1.0], [6.0, 3.0], [1.0, 9.0]], [[4.0, 4.0], [4.0, 6.0], [5.0, 6.0]], [[7.0, 0.0], [2.0, 8.0], [9.0, 0.0]]]","[[[1.0, 9.0], [4.0, 4.0], [0.0, 7.0]], [[3.0, 6.0], [6.0, 4.0], [8.0, 2.0]], [[9.0, 1.0], [6.0, 5.0], [0.0, 9.0]]]",negative,treatment
47,"(0.058823529411764705, 0.8823529411764706, 0.058823529411764705)","(0.125, 0.8125, 0.0625)","[[[6.0, 3.0], [4.0, 6.0], [9.0, 3.0]], [[8.0, 2.0], [5.0, 6.0], [7.0, 3.0]], [[5.0, 6.0], [3.0, 7.0], [8.0, 4.0]]]","[[[3.0, 6.0], [2.0, 8.0], [6.0, 5.0]], [[6.0, 4.0], [6.0, 5.0], [7.0, 3.0]], [[3.0, 9.0], [3.0, 7.0], [4.0, 8.0]]]",negative,treatment
48,"(0.5294117647058824, 0.4117647058823529, 0.058823529411764705)","(0.9375, 0.0, 0.0625)","[[[4.0, 9.0], [5.0, 6.0], [7.0, 3.0]], [[3.0, 8.0], [3.0, 9.0], [3.0, 9.0]], [[4.0, 5.0], [2.0, 7.0], [6.0, 1.0]]]","[[[9.0, 4.0], [8.0, 3.0], [5.0, 4.0]], [[6.0, 5.0], [9.0, 3.0], [7.0, 2.0]], [[3.0, 7.0], [9.0, 3.0], [1.0, 6.0]]]",negative,treatment
49,"(0.5294117647058824, 0.17647058823529413, 0.29411764705882354)","(0.25, 0.1875, 0.5625)","[[[4, 4], [9, 1], [1, 3]], [[1, 9], [8, 8], [1, 8]], [[3, 1], [8, 1], [3, 3]]]","[[[4, 4], [9, 1], [1, 3]], [[1, 9], [8, 8], [1, 8]], [[3, 1], [8, 1], [3, 3]]]",negative,comparison
50,"(0.11764705882352941, 0.8823529411764706, 0.0)","(0.9375, 0.0, 0.0625)","[[[7.0, 7.0], [4.0, 6.0], [5.0, 9.0]], [[4.0, 5.0], [3.0, 8.0], [6.0, 2.0]], [[4.0, 5.0], [2.0, 9.0], [5.0, 4.0]]]","[[[7.0, 7.0], [5.0, 4.0], [5.0, 4.0]], [[6.0, 4.0], [8.0, 3.0], [9.0, 2.0]], [[9.0, 5.0], [2.0, 6.0], [4.0, 5.0]]]",negative,treatment
