col,col_play,round,row,row_play,session_code,type
"[[[9.0, 6.0], [0.0, 0.0], [6.0, 9.0]], [[7.0, 8.0], [2.0, 2.0], [4.0, 5.0]], [[2.0, 1.0], [5.0, 6.0], [0.0, 3.0]]]","[0.6428571428571429,0.35714285714285715,0.0]",21,"[[[6.0, 9.0], [8.0, 7.0], [1.0, 2.0]], [[0.0, 0.0], [2.0, 2.0], [6.0, 5.0]], [[9.0, 6.0], [5.0, 4.0], [3.0, 0.0]]]","[0.4375,0.0,0.5625]",viazupku,treatment
"[[[6.0, 6.0], [9.0, 7.0], [3.0, 2.0]], [[7.0, 8.0], [5.0, 4.0], [1.0, 0.0]], [[5.0, 4.0], [3.0, 4.0], [6.0, 9.0]]]","[0.5714285714285714,0.14285714285714285,0.2857142857142857]",22,"[[[6.0, 6.0], [8.0, 7.0], [4.0, 5.0]], [[7.0, 9.0], [4.0, 5.0], [4.0, 3.0]], [[2.0, 3.0], [0.0, 1.0], [9.0, 6.0]]]","[0.375,0.5625,0.0625]",viazupku,treatment
"[[[5.0, 3.0], [1.0, 4.0], [3.0, 8.0]], [[3.0, 2.0], [2.0, 4.0], [1.0, 5.0]], [[7.0, 9.0], [2.0, 3.0], [8.0, 8.0]]]","[0.0,0.0,1.0]",23,"[[[3.0, 5.0], [2.0, 3.0], [9.0, 7.0]], [[4.0, 1.0], [4.0, 2.0], [3.0, 2.0]], [[8.0, 3.0], [5.0, 1.0], [8.0, 8.0]]]","[0.375,0.0,0.625]",viazupku,treatment
"[[[4.0, 1.0], [0.0, 2.0], [7.0, 7.0]], [[5.0, 1.0], [6.0, 9.0], [4.0, 5.0]], [[4.0, 7.0], [6.0, 7.0], [7.0, 6.0]]]","[0.07142857142857142,0.35714285714285715,0.5714285714285714]",24,"[[[1.0, 4.0], [1.0, 5.0], [7.0, 4.0]], [[2.0, 0.0], [9.0, 6.0], [7.0, 6.0]], [[7.0, 7.0], [5.0, 4.0], [6.0, 7.0]]]","[0.0,0.5,0.5]",viazupku,treatment
"[[[3.0, 5.0], [0.0, 3.0], [3.0, 3.0]], [[9.0, 5.0], [3.0, 2.0], [9.0, 9.0]], [[0.0, 0.0], [5.0, 5.0], [5.0, 1.0]]]","[0.0,1.0,0.0]",25,"[[[5.0, 3.0], [5.0, 9.0], [0.0, 0.0]], [[3.0, 0.0], [2.0, 3.0], [5.0, 5.0]], [[3.0, 3.0], [9.0, 9.0], [1.0, 5.0]]]","[0.0,0.0,1.0]",viazupku,treatment
"[[[0.0, 3.0], [7.0, 5.0], [5.0, 2.0]], [[4.0, 4.0], [0.0, 0.0], [8.0, 8.0]], [[7.0, 6.0], [5.0, 7.0], [0.0, 1.0]]]","[0.0,0.8571428571428571,0.14285714285714285]",26,"[[[3.0, 0.0], [4.0, 4.0], [6.0, 7.0]], [[5.0, 7.0], [0.0, 0.0], [7.0, 5.0]], [[2.0, 5.0], [8.0, 8.0], [1.0, 0.0]]]","[0.0625,0.0,0.9375]",viazupku,treatment
"[[[3.0, 5.0], [5.0, 7.0], [0.0, 0.0]], [[1.0, 5.0], [4.0, 8.0], [3.0, 2.0]], [[3.0, 3.0], [4.0, 2.0], [0.0, 2.0]]]","[0.7857142857142857,0.21428571428571427,0.0]",27,"[[[5.0, 3.0], [5.0, 1.0], [3.0, 3.0]], [[7.0, 5.0], [8.0, 4.0], [2.0, 4.0]], [[0.0, 0.0], [2.0, 3.0], [2.0, 0.0]]]","[0.0,1.0,0.0]",viazupku,treatment
"[[[4.0, 2.0], [2.0, 1.0], [2.0, 1.0]], [[1.0, 1.0], [3.0, 4.0], [5.0, 6.0]], [[5.0, 3.0], [2.0, 2.0], [5.0, 3.0]]]","[0.07142857142857142,0.5714285714285714,0.35714285714285715]",28,"[[[2.0, 4.0], [1.0, 1.0], [3.0, 5.0]], [[1.0, 2.0], [4.0, 3.0], [2.0, 2.0]], [[1.0, 2.0], [6.0, 5.0], [3.0, 5.0]]]","[0.0,0.0,1.0]",viazupku,treatment
"[[[5.0, 1.0], [2.0, 2.0], [0.0, 2.0]], [[6.0, 7.0], [2.0, 2.0], [6.0, 9.0]], [[3.0, 2.0], [8.0, 8.0], [0.0, 1.0]]]","[0.0,0.5,0.5]",29,"[[[1.0, 5.0], [7.0, 6.0], [2.0, 3.0]], [[2.0, 2.0], [2.0, 2.0], [8.0, 8.0]], [[2.0, 0.0], [9.0, 6.0], [1.0, 0.0]]]","[0.0,0.625,0.375]",viazupku,treatment
"[[[4.0, 4.0], [4.0, 4.0], [8.0, 8.0]], [[3.0, 7.0], [5.0, 8.0], [1.0, 5.0]], [[7.0, 8.0], [4.0, 1.0], [5.0, 2.0]]]","[0.9285714285714286,0.0,0.07142857142857142]",30,"[[[4.0, 4.0], [7.0, 3.0], [8.0, 7.0]], [[4.0, 4.0], [8.0, 5.0], [1.0, 4.0]], [[8.0, 8.0], [5.0, 1.0], [2.0, 5.0]]]","[0.125,0.0,0.875]",viazupku,treatment
"[[[0, 4], [8, 8], [3, 5]], [[1, 4], [5, 3], [5, 5]], [[4, 4], [4, 0], [4, 1]]]","[0.7857142857142857,0.07142857142857142,0.14285714285714285]",31,"[[[4, 0], [4, 1], [4, 4]], [[8, 8], [3, 5], [0, 4]], [[5, 3], [5, 5], [1, 4]]]","[0.0625,0.875,0.0625]",viazupku,comparison
"[[[4.0, 3.0], [3.0, 0.0], [1.0, 2.0]], [[7.0, 4.0], [3.0, 2.0], [9.0, 9.0]], [[7.0, 5.0], [1.0, 0.0], [8.0, 8.0]]]","[0.0,0.8571428571428571,0.14285714285714285]",32,"[[[3.0, 4.0], [4.0, 7.0], [5.0, 7.0]], [[0.0, 3.0], [2.0, 3.0], [0.0, 1.0]], [[2.0, 1.0], [9.0, 9.0], [8.0, 8.0]]]","[0.0,0.0,1.0]",viazupku,treatment
