col,col_play,round,row,row_play,session_code,type
"[[[6.0, 1.0], [8.0, 1.0], [6.0, 7.0]], [[7.0, 4.0], [2.0, 8.0], [9.0, 2.0]], [[6.0, 3.0], [5.0, 5.0], [6.0, 4.0]]]","[0.5333333333333333,0.13333333333333333,0.3333333333333333]",40,"[[[1.0, 6.0], [4.0, 7.0], [3.0, 6.0]], [[1.0, 8.0], [8.0, 2.0], [5.0, 5.0]], [[7.0, 6.0], [2.0, 9.0], [4.0, 6.0]]]","[0.06666666666666667,0.2,0.7333333333333333]",viazupku,treatment
"[[[9, 9], [4, 6], [0, 4]], [[6, 4], [6, 6], [1, 4]], [[4, 0], [4, 1], [4, 4]]]","[0.3333333333333333,0.26666666666666666,0.4]",41,"[[[9, 9], [4, 6], [0, 4]], [[6, 4], [6, 6], [1, 4]], [[4, 0], [4, 1], [4, 4]]]","[0.4666666666666667,0.2,0.3333333333333333]",viazupku,comparison
"[[[5.0, 8.0], [7.0, 4.0], [7.0, 1.0]], [[2.0, 9.0], [4.0, 4.0], [4.0, 3.0]], [[5.0, 6.0], [5.0, 0.0], [7.0, 1.0]]]","[0.8,0.06666666666666667,0.13333333333333333]",42,"[[[8.0, 5.0], [9.0, 2.0], [6.0, 5.0]], [[4.0, 7.0], [4.0, 4.0], [0.0, 5.0]], [[1.0, 7.0], [3.0, 4.0], [1.0, 7.0]]]","[0.9333333333333333,0.06666666666666667,0.0]",viazupku,treatment
"[[[7.0, 3.0], [2.0, 8.0], [8.0, 2.0]], [[7.0, 2.0], [6.0, 4.0], [7.0, 4.0]], [[4.0, 3.0], [4.0, 5.0], [3.0, 7.0]]]","[0.06666666666666667,0.9333333333333333,0.0]",43,"[[[3.0, 7.0], [2.0, 7.0], [3.0, 4.0]], [[8.0, 2.0], [4.0, 6.0], [5.0, 4.0]], [[2.0, 8.0], [4.0, 7.0], [7.0, 3.0]]]","[0.0,0.8666666666666667,0.13333333333333333]",viazupku,treatment
"[[[8, 8], [7, 8], [1, 6]], [[8, 7], [9, 9], [0, 5]], [[4, 1], [5, 0], [6, 6]]]","[0.2,0.5333333333333333,0.26666666666666666]",44,"[[[8, 8], [7, 8], [1, 4]], [[8, 7], [9, 9], [0, 5]], [[6, 1], [5, 0], [6, 6]]]","[0.06666666666666667,0.5333333333333333,0.4]",viazupku,comparison
"[[[2.0, 8.0], [2.0, 7.0], [6.0, 5.0]], [[2.0, 4.0], [6.0, 1.0], [7.0, 5.0]], [[7.0, 3.0], [8.0, 3.0], [9.0, 2.0]]]","[0.0,0.0,1.0]",45,"[[[8.0, 2.0], [4.0, 2.0], [3.0, 7.0]], [[7.0, 2.0], [1.0, 6.0], [3.0, 8.0]], [[5.0, 6.0], [5.0, 7.0], [2.0, 9.0]]]","[0.6666666666666666,0.06666666666666667,0.26666666666666666]",viazupku,treatment
"[[[8.0, 0.0], [4.0, 6.0], [9.0, 3.0]], [[1.0, 7.0], [2.0, 7.0], [4.0, 3.0]], [[3.0, 6.0], [8.0, 0.0], [4.0, 4.0]]]","[0.9333333333333333,0.06666666666666667,0.0]",46,"[[[0.0, 8.0], [7.0, 1.0], [6.0, 3.0]], [[6.0, 4.0], [7.0, 2.0], [0.0, 8.0]], [[3.0, 9.0], [3.0, 4.0], [4.0, 4.0]]]","[0.0,0.6666666666666666,0.3333333333333333]",viazupku,treatment
"[[[5.0, 5.0], [6.0, 2.0], [5.0, 6.0]], [[0.0, 8.0], [2.0, 8.0], [2.0, 8.0]], [[6.0, 5.0], [4.0, 9.0], [0.0, 9.0]]]","[1.0,0.0,0.0]",47,"[[[5.0, 5.0], [8.0, 0.0], [5.0, 6.0]], [[2.0, 6.0], [8.0, 2.0], [9.0, 4.0]], [[6.0, 5.0], [8.0, 2.0], [9.0, 0.0]]]","[0.06666666666666667,0.13333333333333333,0.8]",viazupku,treatment
"[[[3.0, 7.0], [7.0, 3.0], [5.0, 1.0]], [[9.0, 0.0], [4.0, 5.0], [6.0, 2.0]], [[7.0, 4.0], [3.0, 4.0], [8.0, 1.0]]]","[0.06666666666666667,0.6666666666666666,0.26666666666666666]",48,"[[[7.0, 3.0], [0.0, 9.0], [4.0, 7.0]], [[3.0, 7.0], [5.0, 4.0], [4.0, 3.0]], [[1.0, 5.0], [2.0, 6.0], [1.0, 8.0]]]","[0.06666666666666667,0.9333333333333333,0.0]",viazupku,treatment
"[[[4, 7], [3, 5], [3, 0]], [[5, 3], [7, 3], [3, 1]], [[0, 4], [2, 3], [9, 9]]]","[0.0,0.7333333333333333,0.26666666666666666]",49,"[[[7, 4], [3, 5], [4, 0]], [[5, 3], [3, 7], [3, 2]], [[0, 3], [1, 3], [9, 9]]]","[0.4666666666666667,0.2,0.3333333333333333]",viazupku,comparison
"[[[3.0, 7.0], [0.0, 8.0], [2.0, 3.0]], [[3.0, 8.0], [6.0, 4.0], [5.0, 1.0]], [[7.0, 1.0], [5.0, 6.0], [1.0, 8.0]]]","[0.0,0.9333333333333333,0.06666666666666667]",50,"[[[7.0, 3.0], [8.0, 3.0], [1.0, 7.0]], [[8.0, 0.0], [4.0, 6.0], [6.0, 5.0]], [[3.0, 2.0], [1.0, 5.0], [8.0, 1.0]]]","[0.0,0.9333333333333333,0.06666666666666667]",viazupku,treatment
